Date,Customers,Advertising_Spend,Discount_Percent,Temperature,Holiday,Sales
2022-03-04,270,3144.86,0,26.5,0,12502.47
2022-03-05,228,2061.87,0,29.5,0,10981.85
2022-03-06,363,,20,26.7,0,15215.52
2022-03-07,396,2744.23,20,31.6,1,16115.12
2022-03-08,302,3948.15,5,28.3,0,14488.94
2022-03-09,283,3492.62,0,30.5,0,13246.99
2022-03-10,281,2304.73,10,29.6,0,12539.96
2022-03-11,310,3709.27,5,30.0,0,14092.51
2022-03-12,268,2215.5,5,29.0,0,11992.55
2022-03-13,258,2767.14,5,29.5,0,12340.42
2022-03-14,364,3655.42,20,28.5,0,15851.32
2022-03-15,243,1796.52,0,26.8,0,11063.47
2022-03-16,348,2821.66,20,27.8,0,14706.04
2022-03-17,274,3624.23,0,32.0,0,13366.86
2022-03-18,401,4216.44,20,29.5,0,16768.39
2022-03-19,324,2825.85,15,30.7,0,13993.7
2022-03-20,393,4565.7,20,31.7,0,16925.41
2022-03-21,293,2783.65,5,31.3,0,12980.65
2022-03-22,363,4359.45,10,31.4,0,15904.66
2022-03-23,303,2759.49,10,28.3,0,13285.85
2022-03-24,235,1553.5,5,29.2,0,10983.56
2022-03-25,321,2630.4,20,29.7,0,13876.1
2022-03-26,364,4619.35,20,32.6,0,16710.17
2022-03-27,239,2521.52,0,32.6,0,11610.25
2022-03-28,398,4813.72,15,30.2,0,17358.15
2022-03-29,289,2952.92,10,29.6,0,13249.9
2022-03-30,313,4192.57,5,32.0,0,14927.79
2022-03-31,379,4627.72,20,30.4,0,16644.44
2022-04-01,338,4467.41,5,27.3,0,15233.28
2022-04-02,301,2350.0,15,28.7,0,12946.64
2022-04-03,279,1077.53,20,27.3,0,11613.67
2022-04-04,319,4829.14,0,31.5,0,14915.28
2022-04-05,275,1609.53,5,29.8,1,12169.48
2022-04-06,351,3797.86,10,28.0,0,15471.91
2022-04-07,309,4111.17,5,32.7,0,14541.94
2022-04-08,331,3303.19,15,29.3,0,14359.23
2022-04-09,269,3508.97,0,31.1,0,13098.09
2022-04-10,291,1484.22,20,31.6,0,12381.37
2022-04-11,264,1275.83,10,26.9,0,11551.65
2022-04-12,392,4843.15,15,31.1,0,16903.6
2022-04-13,382,3601.83,20,31.6,0,16190.59
2022-04-14,384,4302.94,20,28.4,0,16891.32
2022-04-15,351,4526.52,5,31.2,0,15691.39
2022-04-16,231,1114.8,10,27.8,0,10412.61
2022-04-17,305,2118.63,20,30.8,0,13218.72
2022-04-18,263,1764.23,5,30.9,0,11588.47
2022-04-19,308,,15,29.2,0,13597.41
2022-04-20,336,3767.15,10,30.5,0,14881.11
2022-04-21,350,2702.02,20,28.4,0,14503.17
2022-04-22,258,1482.62,5,28.3,0,11482.76
2022-04-23,294,1766.16,15,28.0,0,12731.47
2022-04-24,226,2131.99,0,31.2,0,10712.32
2022-04-25,273,1056.59,20,26.9,0,12058.63
2022-04-26,324,3789.67,5,29.9,0,14238.46
2022-04-27,335,,15,28.7,1,14417.2
2022-04-28,318,4446.89,0,30.9,0,14730.61
2022-04-29,328,3745.8,5,26.8,0,14779.14
2022-04-30,322,1992.76,20,30.4,0,13436.68
2022-05-01,356,4102.77,15,28.4,0,15543.5
2022-05-02,360,2715.32,20,29.4,0,15109.53
2022-05-03,306,4050.95,5,27.1,0,14182.85
2022-05-04,237,1300.26,0,,0,10428.02
2022-05-05,333,2152.42,10,29.6,1,13633.81
2022-05-06,313,2058.22,20,29.2,0,13351.48
2022-05-07,296,3590.54,10,30.1,0,13635.35
2022-05-08,354,3380.18,20,30.6,0,14978.93
2022-05-09,344,3798.93,10,28.0,0,15033.93
2022-05-10,337,4557.69,10,28.5,0,15383.04
2022-05-11,371,4343.83,20,28.3,0,16797.59
2022-05-12,233,2078.04,0,29.2,0,11057.02
2022-05-13,346,4664.29,5,30.5,0,15742.29
2022-05-14,245,1364.97,10,26.9,0,11081.19
2022-05-15,299,2319.21,15,26.0,0,13223.15
2022-05-16,291,2819.3,10,25.7,0,13518.28
2022-05-17,285,3058.39,0,28.0,0,12870.62
2022-05-18,372,3073.76,20,28.5,0,15338.57
2022-05-19,270,2068.22,5,29.4,0,12185.95
2022-05-20,283,1115.48,20,28.5,0,11895.5
2022-05-21,290,2631.96,5,29.5,1,13181.83
2022-05-22,352,4328.57,15,29.0,0,15803.32
2022-05-23,385,4338.9,15,24.8,0,16308.16
2022-05-24,298,3397.51,5,28.3,0,13821.8
2022-05-25,310,2359.5,20,24.6,0,13484.77
2022-05-26,348,3347.75,15,28.1,0,14986.72
2022-05-27,356,3207.67,20,25.0,0,15428.34
2022-05-28,289,1955.22,15,24.0,0,12254.65
2022-05-29,328,3820.91,15,24.8,0,14906.86
2022-05-30,376,3009.16,20,24.3,1,16112.68
2022-05-31,322,3103.8,15,22.3,0,14222.41
2022-06-01,284,1617.44,15,26.7,0,12157.91
2022-06-02,341,3599.35,10,27.0,0,14767.58
2022-06-03,338,3874.87,15,26.9,0,15329.1
2022-06-04,302,3737.6,10,27.5,0,14102.54
2022-06-05,270,3534.99,0,24.1,0,13175.95
2022-06-06,392,4184.57,10,23.4,1,16571.93
2022-06-07,282,3263.71,5,22.1,0,13316.59
2022-06-08,340,3732.54,15,26.4,0,15006.24
2022-06-09,274,2838.28,0,26.2,0,12739.9
2022-06-10,305,1631.9,15,26.3,0,12526.0
2022-06-11,329,3761.25,15,25.5,0,15174.63
2022-06-12,283,1426.61,15,23.7,0,11823.43
2022-06-13,288,1087.76,15,21.8,0,12070.06
2022-06-14,404,4894.41,20,24.4,0,17755.53
2022-06-15,345,4207.73,5,23.6,0,15085.53
2022-06-16,342,4069.88,5,23.4,0,15144.98
2022-06-17,330,2763.29,20,21.7,0,14094.4
2022-06-18,318,3989.92,5,20.5,0,14659.24
2022-06-19,291,3007.18,10,24.1,0,13536.41
2022-06-20,367,4869.54,10,23.4,0,16634.73
2022-06-21,244,1301.2,5,24.0,0,11082.12
2022-06-22,327,2463.1,15,18.7,0,13565.7
2022-06-23,359,3996.05,10,22.0,0,15786.46
2022-06-24,253,1935.29,0,22.0,0,11206.48
2022-06-25,331,3590.61,15,23.6,0,14848.09
2022-06-26,211,1181.39,0,19.8,0,9525.0
2022-06-27,348,3150.19,15,20.5,0,14739.81
2022-06-28,299,1618.09,15,21.5,0,12596.91
2022-06-29,291,2118.96,10,18.7,0,12879.72
2022-06-30,263,1397.42,10,20.5,0,11192.41
2022-07-01,379,4872.83,15,17.6,0,16982.05
2022-07-02,225,1085.43,10,18.4,0,10543.63
2022-07-03,367,4319.27,20,18.0,0,16475.81
2022-07-04,371,4097.47,20,16.6,0,16572.96
2022-07-05,286,4194.06,0,20.4,0,13716.54
2022-07-06,375,4153.73,20,18.2,0,16262.46
2022-07-07,270,2683.84,0,20.5,0,12259.38
2022-07-08,360,3374.66,15,18.9,0,14933.25
2022-07-09,360,4467.92,20,17.5,0,16032.74
2022-07-10,251,2606.47,0,18.5,0,11503.12
2022-07-11,301,3433.19,0,16.1,0,13603.0
2022-07-12,338,2300.74,20,18.4,0,14073.36
2022-07-13,320,4172.38,0,20.2,0,14663.09
2022-07-14,293,2806.22,5,17.3,0,12979.36
2022-07-15,290,2250.19,10,18.7,0,12982.93
2022-07-16,236,2897.07,0,19.5,0,11710.17
2022-07-17,276,2490.59,5,17.7,0,12604.27
2022-07-18,357,3680.05,15,16.3,0,15649.74
2022-07-19,392,4873.59,20,15.9,0,17404.9
2022-07-20,310,3626.95,5,19.0,0,14292.48
2022-07-21,388,4050.42,20,15.1,0,16752.55
2022-07-22,403,4273.71,20,17.6,0,16732.25
2022-07-23,331,4317.84,10,13.6,0,15311.92
2022-07-24,224,2359.3,0,14.3,0,11091.48
2022-07-25,240,1567.5,0,13.6,0,10576.23
2022-07-26,290,2363.58,10,14.8,0,12979.8
2022-07-27,239,1339.83,0,,0,10254.26
2022-07-28,331,2772.45,15,15.5,0,14093.36
2022-07-29,309,3049.39,10,15.0,0,13880.1
2022-07-30,303,3107.74,10,12.6,0,13888.43
2022-07-31,235,1817.69,5,16.7,0,10861.47
2022-08-01,333,2989.54,15,13.0,0,14396.1
2022-08-02,299,3234.89,10,12.3,0,13722.17
2022-08-03,275,1311.45,10,15.1,0,11540.08
2022-08-04,304,2158.06,15,11.7,0,12909.58
2022-08-05,291,2840.39,10,11.9,0,13107.62
2022-08-06,318,3095.85,15,16.5,0,13915.57
2022-08-07,196,1305.52,0,14.3,0,9843.96
2022-08-08,306,3909.52,5,12.4,0,14122.67
2022-08-09,248,1611.48,0,11.9,0,10928.4
2022-08-10,377,4039.51,15,14.8,0,16200.03
2022-08-11,272,2292.83,10,11.5,0,12408.66
2022-08-12,397,4185.32,20,10.8,0,16575.14
2022-08-13,223,1150.43,10,15.3,0,10484.11
2022-08-14,294,,20,13.2,0,12363.27
2022-08-15,314,3955.68,0,12.8,0,14321.29
2022-08-16,295,2902.52,5,15.7,0,12927.53
2022-08-17,242,2373.75,0,12.9,0,11234.1
2022-08-18,398,4963.94,20,12.8,0,17468.2
2022-08-19,279,2549.67,10,13.7,0,12958.64
2022-08-20,206,1263.65,0,12.8,0,9614.25
2022-08-21,354,3626.26,20,14.6,0,15183.1
2022-08-22,365,4666.99,10,15.1,0,16016.3
2022-08-23,301,1338.88,20,11.4,0,12729.62
2022-08-24,396,4315.84,20,9.6,0,16936.15
2022-08-25,318,2235.46,5,11.0,1,13295.0
2022-08-26,254,1619.78,10,13.9,0,11503.38
2022-08-27,364,3954.58,20,9.0,0,16136.0
2022-08-28,305,3388.99,5,9.6,0,13849.64
2022-08-29,317,2750.69,15,10.7,0,14157.57
2022-08-30,355,4009.56,15,9.9,0,15578.56
2022-08-31,302,2876.06,5,10.6,0,13559.48
2022-09-01,309,2127.09,15,11.3,0,13450.58
2022-09-02,309,4205.04,5,13.4,0,14675.76
2022-09-03,274,3218.16,0,12.4,0,12938.64
2022-09-04,338,4052.47,10,10.7,0,14869.31
2022-09-05,345,4785.65,5,12.9,0,16020.13
2022-09-06,282,2585.82,10,9.3,0,12798.03
2022-09-07,389,4723.3,10,12.6,1,16945.87
2022-09-08,296,2889.82,5,12.3,0,13143.0
2022-09-09,288,1316.9,10,9.0,1,12368.57
2022-09-10,253,3111.09,0,12.3,0,12134.83
2022-09-11,352,2679.3,20,10.3,1,15249.62
2022-09-12,343,3144.22,20,11.0,0,14798.88
2022-09-13,357,2411.26,20,10.0,1,15030.62
2022-09-14,416,4813.61,20,10.5,0,17773.22
2022-09-15,322,2880.54,15,13.3,0,14232.44
2022-09-16,258,1270.24,5,11.7,0,10795.05
2022-09-17,319,4026.72,5,7.5,0,14394.9
2022-09-18,364,4321.53,15,13.1,0,16096.22
2022-09-19,269,1252.4,15,7.4,0,11391.32
2022-09-20,269,1167.62,10,10.3,0,11347.86
2022-09-21,350,3587.6,10,9.3,1,15719.36
2022-09-22,269,1497.9,10,9.7,0,11807.21
2022-09-23,287,2546.58,5,10.1,0,12624.53
2022-09-24,212,2066.88,0,11.4,0,10535.84
2022-09-25,241,1721.83,10,9.0,0,11135.76
2022-09-26,331,2783.66,15,8.0,0,14070.66
2022-09-27,401,4480.15,10,10.7,1,17086.39
2022-09-28,328,4791.62,0,11.0,0,15156.04
2022-09-29,309,3717.64,0,7.9,0,14036.41
2022-09-30,248,1504.92,5,11.7,0,10982.48
2022-10-01,221,1129.54,5,11.1,0,10044.63
2022-10-02,343,3295.69,20,9.2,0,15031.78
2022-10-03,247,1453.79,5,10.0,0,11249.54
2022-10-04,381,4099.86,15,8.3,0,16116.3
2022-10-05,252,2964.8,0,7.8,0,12197.71
2022-10-06,263,2780.44,0,11.9,0,12359.34
2022-10-07,305,3199.99,10,12.4,0,13969.4
2022-10-08,298,3550.8,10,10.1,0,14203.2
2022-10-09,298,1946.94,15,7.3,0,12737.09
2022-10-10,332,4932.05,5,10.8,0,15401.85
2022-10-11,362,3867.73,15,10.3,0,15888.6
2022-10-12,339,4889.52,0,9.9,0,15432.0
2022-10-13,371,4121.05,20,8.3,0,16269.32
2022-10-14,215,1221.65,0,10.4,0,9791.16
2022-10-15,333,3837.33,10,13.0,0,15037.51
2022-10-16,325,2002.42,20,9.0,0,13336.91
2022-10-17,307,3010.29,5,10.9,0,13275.9
2022-10-18,392,3882.53,20,9.5,0,16198.19
2022-10-19,292,1324.89,20,9.1,0,12531.86
2022-10-20,360,3555.96,15,12.9,0,15252.53
2022-10-21,311,2931.78,15,9.4,0,14048.21
2022-10-22,322,2662.49,15,8.9,0,13556.96
2022-10-23,261,2277.27,10,13.6,0,12257.54
2022-10-24,239,1424.74,5,10.6,0,10802.7
2022-10-25,282,1202.42,15,13.0,0,11705.9
2022-10-26,269,1638.8,10,13.5,0,11604.66
2022-10-27,388,4983.88,15,11.0,0,17166.83
2022-10-28,310,2572.97,15,13.9,0,13644.68
2022-10-29,358,2125.43,20,13.5,1,14532.42
2022-10-30,270,1429.99,5,13.5,1,11934.47
2022-10-31,341,2602.33,20,11.7,0,14436.27
2022-11-01,369,3017.02,20,10.1,0,15389.88
2022-11-02,388,4900.33,15,10.7,0,17128.4
2022-11-03,319,1577.07,20,11.6,0,12810.0
2022-11-04,384,3854.37,15,11.8,1,16644.25
2022-11-05,319,2311.86,20,10.7,0,13921.68
2022-11-06,282,2196.94,10,11.9,0,12427.37
2022-11-07,232,2199.16,0,11.2,0,11467.98
2022-11-08,301,4187.02,0,12.7,0,14491.44
2022-11-09,366,4104.65,20,10.6,0,16257.26
2022-11-10,369,3516.1,20,14.0,0,15520.2
2022-11-11,221,1126.28,0,10.6,0,9904.99
2022-11-12,356,3762.0,15,12.5,0,15626.31
2022-11-13,296,3943.35,0,13.9,0,13606.7
2022-11-14,360,3648.91,20,12.0,0,15665.18
2022-11-15,307,3185.09,10,13.5,0,14142.42
2022-11-16,278,2194.0,10,14.6,0,12568.26
2022-11-17,344,2919.21,20,15.7,0,14617.56
2022-11-18,324,3172.76,15,15.2,0,14262.44
2022-11-19,316,3856.57,10,15.9,0,14663.08
2022-11-20,331,4311.81,10,16.1,0,14976.83
2022-11-21,313,3347.32,5,11.0,0,13732.91
2022-11-22,248,1400.79,10,15.1,0,11309.43
2022-11-23,355,4858.08,5,13.4,0,15999.82
2022-11-24,348,4855.66,10,12.8,0,16355.02
2022-11-25,340,3296.53,20,15.6,0,15261.05
2022-11-26,302,4528.98,5,16.9,0,14941.71
2022-11-27,274,2981.54,10,16.7,0,12850.82
2022-11-28,375,4713.82,10,13.3,0,16483.51
2022-11-29,298,1536.8,20,,0,12858.97
2022-11-30,317,3924.48,10,16.2,0,14856.64
2022-12-01,318,3271.12,5,13.1,0,14157.95
2022-12-02,257,3061.12,0,14.6,0,12218.68
2022-12-03,257,2294.41,5,12.4,0,11664.16
2022-12-04,365,4816.14,10,16.0,0,15968.35
2022-12-05,302,3771.07,0,16.7,0,13741.09
2022-12-06,330,3010.08,10,17.0,0,14375.87
2022-12-07,313,3458.5,5,18.7,0,13790.76
2022-12-08,352,3422.96,15,17.4,0,15273.35
2022-12-09,347,4302.41,5,17.4,0,15594.41
2022-12-10,304,2786.99,10,13.9,0,13105.06
2022-12-11,312,4611.55,5,17.1,0,14697.64
2022-12-12,294,2767.36,5,,0,12789.79
2022-12-13,373,4234.77,15,14.7,0,16202.05
2022-12-14,310,2849.51,10,18.5,0,13474.99
2022-12-15,278,1871.61,0,14.6,1,12336.52
2022-12-16,227,1241.02,0,20.4,0,9949.88
2022-12-17,351,4075.89,15,16.9,0,15538.42
2022-12-18,254,2509.99,0,18.9,0,11518.86
2022-12-19,292,1474.53,20,17.3,0,12647.95
2022-12-20,219,1013.89,0,21.0,0,9986.84
2022-12-21,295,3127.73,5,16.8,0,13171.35
2022-12-22,321,4500.83,0,15.7,0,14926.1
2022-12-23,322,4556.17,5,16.9,0,15206.4
2022-12-24,257,3688.09,0,17.3,0,12795.2
2022-12-25,219,1869.08,0,16.8,0,10373.31
2022-12-26,359,3304.44,20,19.7,0,15206.86
2022-12-27,407,4942.78,20,17.6,0,17568.39
2022-12-28,308,3366.67,5,20.2,0,13861.39
2022-12-29,351,2377.66,15,21.4,1,14779.64
2022-12-30,275,2199.55,5,21.4,0,12028.22
2022-12-31,300,4430.16,5,21.8,0,14558.7
2023-01-01,277,3229.15,5,19.5,0,12848.44
2023-01-02,352,4688.9,10,17.9,0,15766.21
2023-01-03,274,3419.88,0,22.8,0,13222.04
2023-01-04,311,3685.8,5,20.6,0,14051.57
2023-01-05,242,1847.23,5,23.6,0,11421.15
2023-01-06,404,4657.77,20,22.3,0,17642.67
2023-01-07,350,4102.06,15,21.0,0,15461.59
2023-01-08,370,4531.25,15,19.0,0,16479.86
2023-01-09,290,1812.51,10,21.0,0,12549.55
2023-01-10,308,1064.88,20,24.3,0,12564.32
2023-01-11,248,1784.77,5,21.2,0,11324.87
2023-01-12,343,3739.39,10,23.6,0,15299.44
2023-01-13,290,2962.38,5,23.6,0,12942.86
2023-01-14,316,2953.27,20,25.3,0,14170.55
2023-01-15,209,1297.32,0,24.1,0,9622.4
2023-01-16,250,1271.87,5,19.8,0,10873.69
2023-01-17,377,3550.91,20,25.4,0,15621.74
2023-01-18,256,2645.35,0,23.2,0,12040.82
2023-01-19,321,3008.86,15,25.0,0,13955.82
2023-01-20,243,1595.59,5,24.1,0,11254.88
2023-01-21,291,2587.59,10,26.3,0,12966.63
2023-01-22,204,1903.43,0,24.6,0,10052.07
2023-01-23,266,3210.81,0,24.7,0,12458.3
2023-01-24,313,3579.63,10,24.4,0,14573.58
2023-01-25,299,1919.07,20,24.0,0,13294.78
2023-01-26,305,2121.49,20,24.7,0,13138.15
2023-01-27,236,1062.63,5,25.0,0,10717.97
2023-01-28,346,3255.83,20,26.6,0,15075.83
2023-01-29,246,2535.38,5,26.5,0,11846.76
2023-01-30,260,1214.79,15,23.3,0,11384.19
2023-01-31,384,4819.43,15,27.9,0,16673.86
2023-02-01,404,4970.34,15,23.6,0,17716.67
2023-02-02,370,3718.78,15,22.9,0,15590.89
2023-02-03,278,1294.03,10,23.4,0,11443.03
2023-02-04,237,2442.8,0,22.7,0,11343.28
2023-02-05,215,1408.93,0,23.9,0,10084.23
2023-02-06,207,1413.17,0,25.1,0,10088.09
2023-02-07,317,4454.87,0,24.8,0,14915.04
2023-02-08,287,3238.15,5,26.7,0,13448.76
2023-02-09,266,2075.68,10,26.3,0,11938.76
2023-02-10,240,2199.01,0,25.7,0,11464.05
2023-02-11,328,3466.68,15,24.3,0,14315.55
2023-02-12,356,4366.45,15,28.6,0,15889.5
2023-02-13,388,4294.14,20,24.7,0,16843.29
2023-02-14,287,2916.04,5,29.8,0,12923.02
2023-02-15,348,2964.03,20,28.8,0,14790.06
2023-02-16,249,2571.74,0,,0,11884.78
2023-02-17,380,3726.85,20,24.5,0,16392.91
2023-02-18,296,4190.74,0,29.4,0,14116.49
2023-02-19,278,2211.33,10,28.5,0,12530.76
2023-02-20,402,4962.8,15,28.2,0,17414.69
2023-02-21,376,3766.84,20,25.0,0,16212.42
2023-02-22,276,3375.28,0,25.6,0,13133.67
2023-02-23,292,3588.0,0,28.4,0,13798.73
2023-02-24,301,4184.92,0,25.2,0,14051.15
2023-02-25,344,3231.97,20,26.5,0,14849.05
2023-02-26,326,3354.36,20,26.2,0,14690.27
2023-02-27,309,4682.19,0,26.1,0,14718.73
2023-02-28,394,4137.08,20,28.4,0,16507.79
2023-03-01,251,2809.79,0,27.4,0,11794.28
2023-03-02,238,1437.45,5,31.3,0,10846.3
2023-03-03,303,2323.96,15,31.5,0,13433.3
2023-03-04,296,1745.55,15,28.2,0,12718.01
2023-03-05,239,2718.21,0,30.1,0,11529.64
2023-03-06,399,4184.03,20,26.6,0,16694.12
2023-03-07,315,2830.2,10,30.1,0,13718.21
2023-03-08,348,3387.88,20,28.5,0,15156.33
2023-03-09,341,3469.45,10,31.7,0,14495.92
2023-03-10,267,1471.45,10,27.0,0,11731.01
2023-03-11,272,2672.96,5,29.8,0,12252.84
2023-03-12,309,3773.73,5,29.7,0,13971.46
2023-03-13,393,4367.94,20,,0,17211.13
2023-03-14,305,1780.51,15,32.3,0,12894.26
2023-03-15,314,2966.9,15,29.5,0,14071.49
2023-03-16,250,1882.12,0,28.3,0,11102.23
2023-03-17,324,3262.6,15,30.0,0,14522.17
2023-03-18,282,3172.42,10,30.0,0,13452.46
2023-03-19,276,1874.17,15,27.4,0,12123.74
2023-03-20,288,2798.93,10,32.0,0,13151.92
2023-03-21,340,4102.53,5,28.1,0,15186.28
2023-03-22,331,3441.05,15,27.8,0,14936.45
2023-03-23,383,4221.76,20,29.0,0,16687.38
2023-03-24,364,4916.0,10,28.6,0,16733.6
2023-03-25,309,4600.62,0,27.7,0,14869.66
2023-03-26,307,4468.19,5,31.2,0,14538.1
2023-03-27,385,4313.93,15,29.9,0,16602.98
2023-03-28,240,2500.69,0,30.8,0,11548.41
2023-03-29,344,3778.81,10,29.7,0,14975.46
2023-03-30,351,4096.54,0,31.4,1,15622.03
2023-03-31,399,4400.42,20,29.4,0,17273.61
2023-04-01,289,2291.46,10,29.0,0,12409.07
2023-04-02,309,4153.21,0,27.3,0,14386.7
2023-04-03,224,1496.95,5,29.6,0,10935.92
2023-04-04,348,4982.78,5,32.3,0,15805.53
2023-04-05,285,2096.08,10,28.5,0,12601.9
2023-04-06,250,1207.15,10,31.3,0,11030.77
2023-04-07,229,1380.73,5,29.8,0,10682.74
2023-04-08,235,2780.27,0,31.1,0,11942.1
2023-04-09,195,1528.7,0,28.3,0,9941.33
2023-04-10,275,2253.41,10,27.7,0,12550.13
2023-04-11,288,1273.65,20,26.9,0,12231.54
2023-04-12,324,3512.32,5,32.3,0,14367.31
2023-04-13,207,1346.75,0,27.6,0,10029.18
2023-04-14,360,4852.99,10,31.5,0,16201.31
2023-04-15,339,3213.59,20,31.0,0,14979.13
2023-04-16,354,4391.57,10,27.9,0,15697.73
2023-04-17,240,2182.17,0,31.3,0,11318.57
2023-04-18,329,2998.33,20,27.0,0,14850.39
2023-04-19,319,1527.93,20,29.1,0,13164.74
2023-04-20,308,4817.81,0,26.6,0,14626.23
2023-04-21,400,4690.32,15,29.5,0,17261.87
2023-04-22,319,2694.3,15,26.9,0,13782.54
2023-04-23,198,1334.39,0,29.4,0,9967.7
2023-04-24,313,2307.0,20,30.0,0,13534.64
2023-04-25,329,4813.71,5,26.5,0,15772.44
2023-04-26,274,3449.19,0,28.0,0,12846.34
2023-04-27,316,3806.0,5,29.0,0,14390.68
2023-04-28,313,3883.06,5,28.2,0,14532.08
2023-04-29,339,4599.59,10,30.7,0,15624.58
2023-04-30,324,4900.2,0,28.8,0,15076.97
2023-05-01,304,3267.54,10,26.7,0,14138.15
2023-05-02,283,1461.33,20,25.6,0,12194.81
2023-05-03,257,2531.92,5,26.6,0,12200.41
2023-05-04,353,3962.66,15,26.8,0,15584.19
2023-05-05,229,2085.03,0,28.8,0,11038.87
2023-05-06,301,1717.38,20,31.2,0,12524.2
2023-05-07,283,2129.23,10,27.1,0,12353.63
2023-05-08,279,2166.38,10,29.5,0,12439.46
2023-05-09,303,2973.44,5,29.4,0,13550.83
2023-05-10,284,1025.51,15,25.0,0,11657.33
2023-05-11,359,4508.79,10,24.8,0,16218.91
2023-05-12,308,1415.8,20,30.5,0,12753.12
2023-05-13,348,4987.84,10,25.1,0,16361.19
2023-05-14,304,3803.39,10,27.2,0,14313.35
2023-05-15,362,3548.86,15,24.7,0,15162.26
2023-05-16,265,1522.83,10,25.7,0,11886.17
2023-05-17,346,4327.6,10,26.0,0,15453.09
2023-05-18,292,1544.45,20,24.6,0,12384.79
2023-05-19,331,2626.05,20,26.0,0,14232.84
2023-05-20,296,4409.93,0,24.6,0,14413.09
2023-05-21,234,1161.32,10,24.4,0,10908.63
2023-05-22,246,1195.8,10,25.0,0,10713.35
2023-05-23,353,2808.8,20,24.8,0,14583.62
2023-05-24,218,1485.81,0,28.1,0,10080.3
2023-05-25,250,,0,26.5,0,12031.24
2023-05-26,357,4988.65,5,28.3,0,16367.16
2023-05-27,345,4389.1,10,23.5,0,15261.45
2023-05-28,310,2732.63,15,25.6,0,13745.25
2023-05-29,263,1858.86,5,24.1,0,11903.07
2023-05-30,355,3476.71,5,26.2,1,15232.35
2023-05-31,263,1243.92,10,24.5,0,11164.4
2023-06-01,357,3103.26,20,26.8,0,15329.36
